"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",1.92078487120072,0.0767904248426228,25.0133382532685,4.37718149997486e-138,1.76776050205121,2.06884452934001
"BIOTIMEbin",0.100652593452115,0.0647939019953783,1.55342694840781,0.120321168980416,-0.0268086944869134,0.227241639427535
"DEGREEbin",0.0276018023483155,0.0747830017244207,0.369091928805286,0.712059204777818,-0.117556935221563,0.175708125732449
"LICENSEbin",0.132301519277085,0.0672488331186628,1.96734297297969,0.049143683993282,0.00157066454132176,0.265267746175569
"COUNTIESbin",0.0481662382244278,0.0608963861613851,0.790953967231809,0.428970854218385,-0.0712725536520805,0.167488443975729
"COLLECTbin",0.0105335204044058,0.0603856636865778,0.174437436989653,0.861521694842759,-0.108014944147955,0.128742291300235
