"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",1.89156624979963,0.0793726551540018,23.8314599168888,1.57671688374161e-125,1.73332285101154,2.04454305555113
"COURSEbin",0.0783226887193289,0.0591823888663944,1.32341208625668,0.185698374639295,-0.0380728570772493,0.193976115652798
"BIOTIMEbin",0.0964702079353371,0.0635894945410411,1.51707775996041,0.129247052602697,-0.0286643294768244,0.220668288250445
"EDUCATIONbin",0.0361631264174224,0.0773503133800405,0.467523980668887,0.640125039091722,-0.113731557780403,0.189616653440903
"COUNTIESbin",0.0592187198951275,0.0603797634750233,0.980770981648909,0.326705691253418,-0.0591386875377101,0.177595106084992
"LICENSEbin",0.119536006277143,0.0670774951718634,1.78205828901142,0.0747397268256338,-0.0108263107741533,0.252197509389729
