State,County,Collection Date,Date Detected,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
Alabama,Walker,12/6/2023,9/3/2024,EA/AM H5N1,Snow goose,Wild bird,Morbidity/Mortality,NWDP
Alabama,Limestone,12/12/2023,9/5/2024,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Limestone,12/12/2023,9/5/2024,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Jackson,12/29/2023,9/18/2024,EA H5N1,Canada goose,Wild bird,Hunter harvest,NWDP
Alabama,Barbour,12/23/2023,9/26/2024,EA H5N1,Ring-necked duck,Wild bird,Hunter harvest,NWDP
Alabama,Barbour,12/23/2023,9/26/2024,EA H5N1,Ring-necked duck,Wild bird,Hunter harvest,NWDP
Alabama,Barbour,12/23/2023,9/26/2024,EA H5N1,Northern shoveler,Wild bird,Hunter harvest,NWDP
Alabama,Barbour,12/23/2023,9/26/2024,EA H5N1,Wood duck,Wild bird,Hunter harvest,NWDP
Alabama,Limestone,1/2/2025,1/16/2025,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Alabama,Limestone,1/2/2025,1/16/2025,EA/AM H5N1,Snow goose,Wild bird,Hunter harvest,NWDP
Alabama,Limestone,12/10/2024,1/24/2025,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
Alabama,Baldwin,1/9/2025,2/3/2025,EA H5,House finch,Wild bird,Morbidity/Mortality,AL DAI
Alabama,Barbour,12/11/2024,1/2/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Alabama,Barbour,12/11/2024,1/2/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Alabama,Barbour,12/11/2024,1/2/2025,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
Alabama,Marshall,1/25/2025,2/12/2025,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
Alabama,Limestone,12/12/2024,1/16/2025,EA/AM H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
Alabama,Limestone,12/12/2024,1/16/2025,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,1/25/2025,2/10/2025,EA/AM H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,1/25/2025,2/10/2025,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,1/25/2025,2/10/2025,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,1/25/2025,2/10/2025,EA/AM H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,1/25/2025,2/10/2025,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,1/25/2025,2/10/2025,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,1/24/2025,2/10/2025,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,1/24/2025,2/13/2025,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,1/25/2025,2/10/2025,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,12/17/2024,1/2/2025,EA H5,Greater white-fronted goose,Wild bird,Morbidity/Mortality,NWDP
