PROG
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
60
90
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
77
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
68
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
60
100
100
100
100
100
100
60
60
90
98
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
23
23
23
43
23
23
23
35
43
28
28
23
23
15
23
15
23
28
23
23
43
43
23
23
23
23
23
23
23
28
20
28
23
28
23
23
38
23
23
23
28
23
28
23
23
23
38
28
23
23
38
23
23
15
23
28
43
23
23
